time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-01T19:30:20.550Z,-58.0607,-25.1948,25.88,5.8,mww,,78,7.35,0.9,us,us2000i5jk,2018-11-01T23:51:47.078Z,"132km NE of Bristol Island, South Sandwich Islands",earthquake,11.2,4.6,0.071,19,reviewed,us,us
2018-11-01T19:25:03.010Z,35.1935,-97.6874,5,1.9,ml,,67,0.149,0.94,us,us2000i5n4,2018-11-02T00:02:09.701Z,"6km NNW of Blanchard, Oklahoma",earthquake,1.3,1.8,0.069,28,reviewed,us,us
2018-11-01T19:17:35.240Z,37.8976,135.24,346.94,4,mb,,31,2.388,0.94,us,us2000i5ja,2018-11-01T22:39:43.040Z,"177km NW of Hakui, Japan",earthquake,9.4,9,0.064,65,reviewed,us,us
2018-11-01T19:09:35.190Z,61.8757,-150.2792,42,1.4,ml,,,,0.67,ak,ak20309520,2018-11-01T19:18:17.017Z,"19km NW of Willow, Alaska",earthquake,,1,,,automatic,ak,ak
2018-11-01T19:05:36.548Z,37.0986,-116.1627,6.2,-0.1,ml,16,170.86,0.05,0.1537,nn,nn00663765,2018-11-01T21:39:41.651Z,"57km ENE of Beatty, Nevada",earthquake,,1.5,0.52,5,reviewed,nn,nn
2018-11-01T19:04:34.360Z,34.9886667,-118.1908333,-0.8,1.55,ml,10,100,0.1139,0.13,ci,ci38345024,2018-11-01T19:28:44.027Z,"7km SSW of Mojave, CA",quarry blast,0.39,31.61,0.112,8,reviewed,ci,ci
2018-11-01T19:02:01.560Z,19.4096661,-155.2753296,1.3,1.9,md,20,45,0.01148,0.23,hv,hv70679032,2018-11-01T19:07:44.020Z,"4km WSW of Volcano, Hawaii",earthquake,0.3,0.39,0.12,12,automatic,hv,hv
2018-11-01T18:45:41.005Z,65.6001,-151.5182,4.9,1.7,ml,,,,1.08,ak,ak20309511,2018-11-01T18:57:22.625Z,"54km NNE of Tanana, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-11-01T18:44:41.413Z,65.5754,-151.7484,6.1,1.4,ml,,,,0.88,ak,ak20309510,2018-11-01T18:53:41.379Z,"47km NNE of Tanana, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-01T18:42:04.650Z,36.6930008,-121.3246689,3.24,2.28,md,35,105,0.08237,0.05,nc,nc73104866,2018-11-01T21:09:03.630Z,"11km S of Tres Pinos, CA",earthquake,0.28,1.3,0.17,30,automatic,nc,nc
